id,ra,dec,ra_error,dec_error,nobs_b,mag_b,err_mag_b,nobs_v,mag_v,err_mag_v,nobs_u,mag_u,err_mag_u,nobs_g,mag_g,err_mag_g,nobs_r,mag_r,err_mag_r,nobs_i,mag_i,err_mag_i,nobs_z_s,mag_z_s,err_mag_z_s,nobs_y,mag_y,err_mag_y
125-0723556,301.351188,35.587168,3.833333e-05,4.138889e-05,1,16.77,0.087,1,14.737,0.025,0,,,2,15.718,0.068,2,13.969,0.016,2,13.056,0.007,1,12.532,0.07,0,,
125-0723369,301.337692,35.601642,4.916667e-05,2.1111111e-05,1,16.94,0.112,1,15.449,0.047,0,,,1,16.177,0.041,1,14.851,0.033,1,14.185,0.041,0,,,0,,
125-0723464,301.345453,35.601163,7.611111e-05,5.0555554e-05,2,11.252,0.017,3,11.008,0.018,0,,,2,11.109,0.011,2,11.03,0.017,2,11.075,0.003,1,11.118,0.017,0,,
125-0723296,301.332224,35.609362,9.444445e-06,1e-05,0,,,0,,,0,,,1,17.377,0.125,1,16.37,0.146,0,,,0,,,0,,
125-0723341,301.335347,35.614096,8.333334e-05,8.9444446e-05,2,15.716,0.065,2,15.036,0.062,0,,,2,15.304,0.022,2,14.736,0.05,1,14.382,0.05,0,,,0,,
125-0723403,301.340125,35.609548,7.166666e-05,9.194444e-05,1,16.432,0.08,1,15.493,0.052,0,,,2,15.956,0.032,2,15.064,0.025,2,14.882,0.044,0,,,0,,
125-0723580,301.353039,35.601694,8.9444446e-05,3.9722225e-05,2,15.711,0.067,2,14.842,0.002,0,,,2,15.225,0.025,2,14.519,0.011,2,14.305,0.01,0,,,0,,
125-0723073,301.316096,35.654802,0.000108611115,0.00011944445,2,13.966,0.017,2,13.551,0.001,0,,,2,13.69,0.029,2,13.445,0.021,0,,,0,,,0,,
125-0723222,301.326946,35.630455,0.00012499999,7.5e-05,0,,,0,,,0,,,1,16.725,0.078,1,15.556,0.073,1,15.031,0.096,0,,,0,,
125-0723183,301.324138,35.640335,3.75e-05,3.0833333e-05,2,11.876,0.013,2,11.303,0.004,0,,,2,11.546,0.008,2,11.177,0.015,2,11.065,0.004,1,11.047,0.018,0,,
125-0723423,301.341662,35.622115,0.00010722222,6.2499996e-05,2,14.193,0.002,2,13.777,0.027,0,,,2,13.954,0.014,2,13.678,0.0,2,13.641,0.009,1,13.618,0.152,0,,
125-0723418,301.34134,35.63164,9.722222e-05,2.9444443e-05,0,,,0,,,0,,,1,17.317,0.121,1,16.019,0.102,0,,,0,,,0,,
125-0723592,301.353955,35.630344,0.00019055555,2.3055554e-05,1,16.939,0.106,1,15.723,0.064,0,,,2,16.341,0.089,2,15.145,0.0,2,14.502,0.03,0,,,0,,
125-0723145,301.321639,35.648754,4.8055554e-05,2.611111e-05,2,15.147,0.022,2,14.367,0.007,0,,,2,14.747,0.039,2,14.079,0.015,2,13.771,0.006,0,,,0,,
125-0723164,301.322697,35.655315,0.00011083333,7.138889e-05,2,13.527,0.007,2,11.509,0.009,0,,,2,12.492,0.015,3,10.777,0.007,1,9.93,0.008,1,9.362,0.006,0,,
125-0723323,301.333894,35.649478,5.0833332e-05,0.0001238889,2,16.37,0.083,2,15.412,0.046,0,,,2,15.854,0.003,1,15.151,0.052,2,14.963,0.009,0,,,0,,
125-0723441,301.343379,35.637042,4.4444445e-05,6.75e-05,1,16.896,0.113,1,15.964,0.085,0,,,2,16.55,0.195,2,15.648,0.005,2,15.342,0.046,0,,,0,,
125-0723522,301.349399,35.634272,4.6666664e-05,4.0555555e-05,1,17.68,0.194,1,16.445,0.119,0,,,1,16.862,0.076,1,16.044,0.095,1,15.845,0.168,0,,,0,,
125-0723396,301.339444,35.645412,0.00018388889,0.00020777779,0,,,0,,,0,,,1,17.622,0.177,1,16.408,0.154,0,,,0,,,0,,
125-0723536,301.35013,35.649189,5.5833334e-05,3.361111e-05,2,12.476,0.011,2,12.186,0.006,0,,,2,12.279,0.006,2,12.185,0.022,2,12.212,0.005,1,12.268,0.047,0,,
125-0723033,301.313529,35.671377,3.8888888e-05,5.25e-05,2,14.979,0.057,2,14.265,0.006,0,,,2,14.581,0.001,2,14.06,0.021,2,13.826,0.016,1,13.412,0.141,0,,
125-0722991,301.309456,35.673353,5.9166665e-05,7.0277776e-05,0,,,0,,,0,,,1,16.748,0.053,1,15.104,0.036,1,14.26,0.037,0,,,0,,
125-0723289,301.331706,35.658958,0.00010722222,0.00014333332,0,,,0,,,0,,,1,17.855,0.188,1,16.152,0.117,1,15.55,0.149,0,,,0,,
125-0723241,301.328563,35.667171,0.00012333333,1.8333334e-05,0,,,0,,,0,,,1,18.108,0.239,1,16.563,0.174,1,15.856,0.197,0,,,0,,
125-0723377,301.338127,35.660217,0.00010111111,8.805555e-05,2,15.415,0.041,2,14.567,0.026,0,,,2,14.972,0.019,2,14.217,0.02,2,13.836,0.028,1,13.544,0.167,0,,
125-0723631,301.356754,35.649664,9.75e-05,4e-05,2,13.391,0.006,2,13.047,0.0,0,,,2,13.167,0.015,2,12.99,0.001,2,12.969,0.014,1,13.094,0.094,0,,
125-0723603,301.354927,35.663048,3.4166667e-05,6.3611114e-05,2,16.566,0.184,2,15.375,0.076,0,,,1,15.912,0.093,1,14.997,0.069,1,14.754,0.095,0,,,0,,
125-0723096,301.317303,35.677628,7.777778e-06,6.6388886e-05,1,17.337,0.15,1,16.603,0.132,0,,,1,17.088,0.089,1,16.328,0.121,1,16.014,0.2,0,,,0,,
125-0723204,301.325742,35.675588,3.861111e-05,6.5e-05,2,16.5,0.077,2,16.084,0.141,0,,,2,16.097,0.033,2,15.859,0.056,2,15.626,0.013,0,,,0,,
125-0723233,301.327918,35.683801,5.5e-05,4.1944444e-05,1,17.927,0.241,1,16.819,0.15,0,,,1,17.526,0.113,1,16.247,0.102,1,15.767,0.14,0,,,0,,
125-0723401,301.339703,35.668993,4.8888887e-05,4.916667e-05,2,16.089,0.083,2,15.323,0.032,0,,,2,15.62,0.02,2,14.965,0.045,2,14.71,0.025,0,,,0,,
125-0723525,301.349706,35.666866,4.9722225e-05,8.694444e-05,0,,,0,,,0,,,1,17.437,0.132,1,16.971,0.218,0,,,0,,,0,,
125-0723493,301.34747,35.670204,0.00010694444,6.138889e-05,1,17.517,0.179,1,16.577,0.136,0,,,1,16.999,0.084,1,16.489,0.142,1,16.01,0.176,0,,,0,,
125-0723503,301.348008,35.680579,4.0833333e-05,3.3333334e-05,2,17.127,0.005,2,14.81,0.004,0,,,2,15.971,0.004,2,14.0,0.012,2,12.94,0.007,1,12.154,0.05,0,,
125-0722937,301.304584,35.708474,4.0555555e-05,3.9444447e-05,2,13.206,0.02,2,12.636,0.002,0,,,2,12.88,0.02,2,12.46,0.007,0,,,0,,,0,,
125-0723294,301.332056,35.694341,1.5277777e-05,6.0555554e-05,0,,,0,,,0,,,1,17.201,0.107,1,16.533,0.139,0,,,0,,,0,,
125-0723437,301.343049,35.684463,5.777778e-05,4.5e-05,1,16.875,0.102,1,16.203,0.093,0,,,2,16.517,0.067,2,15.999,0.165,1,15.769,0.141,0,,,0,,
125-0723615,301.355974,35.683122,0.00018222223,0.00010222222,0,,,0,,,0,,,1,17.417,0.113,1,16.094,0.095,1,15.497,0.117,0,,,0,,
125-0723370,301.337711,35.696921,0.00019361112,3.6944446e-05,1,17.725,0.218,1,16.68,0.139,0,,,1,17.284,0.1,1,16.103,0.093,1,15.609,0.137,0,,,0,,
125-0723467,301.345565,35.695319,6.3611114e-05,4.9444447e-05,2,14.243,0.017,2,13.591,0.002,0,,,2,13.85,0.007,2,13.455,0.017,2,13.288,0.011,1,13.286,0.118,0,,
125-0723106,301.318185,35.710183,3.75e-05,5.222222e-05,2,12.22,0.016,2,11.478,0.001,0,,,2,11.804,0.014,2,11.279,0.014,2,11.095,0.003,1,11.028,0.019,0,,
125-0723260,301.330171,35.706102,0.00021138888,0.00018611111,2,14.968,0.017,2,14.218,0.028,0,,,2,14.583,0.018,2,13.969,0.024,2,13.678,0.034,1,13.539,0.165,0,,
125-0723091,301.317053,35.720842,0.00020388889,0.00013916666,1,16.912,0.1,1,15.281,0.049,0,,,1,16.162,0.107,1,14.914,0.071,1,14.256,0.076,0,,,0,,
125-0723427,301.341944,35.703349,5.2777777e-05,7.916667e-05,2,15.44,0.004,2,14.33,0.044,0,,,2,14.853,0.03,2,13.913,0.034,2,13.477,0.049,0,,,0,,
125-0723549,301.350929,35.698354,0.00010138889,7.305556e-05,1,17.326,0.135,1,15.473,0.044,0,,,2,16.588,0.092,2,14.692,0.002,2,13.8,0.001,0,,,0,,
125-0723004,301.310417,35.732214,0.0001075,9.5e-05,2,15.133,0.016,2,14.405,0.037,0,,,2,14.771,0.011,2,14.224,0.006,2,13.964,0.044,0,,,0,,
125-0723059,301.315092,35.749511,2.2777778e-05,6.611111e-05,1,16.556,0.073,1,15.131,0.036,0,,,2,15.844,0.034,2,14.586,0.014,2,13.91,0.011,0,,,0,,
125-0723194,301.324677,35.725982,3.2777778e-05,3.611111e-05,2,14.267,0.009,2,13.704,0.009,0,,,1,13.917,0.014,1,13.571,0.017,1,13.481,0.03,1,13.419,0.133,0,,
125-0723271,301.33115,35.71932,0.00013416666,0.000105555555,2,15.38,0.029,2,14.586,0.007,0,,,2,14.953,0.018,2,14.282,0.018,2,14.054,0.017,1,14.177,0.289,0,,
125-0723094,301.317221,35.733766,3.8055554e-05,3.3055556e-05,2,13.917,0.011,2,12.596,0.012,0,,,2,13.211,0.002,2,12.165,0.004,2,11.705,0.006,1,11.415,0.026,0,,
125-0723321,301.33371,35.72912,4.916667e-05,3.0277777e-05,2,12.052,0.01,2,11.752,0.003,0,,,2,11.857,0.006,2,11.725,0.011,2,11.734,0.008,1,11.776,0.031,0,,
125-0723551,301.350975,35.72072,0.00020277778,0.00011361112,2,13.963,0.014,2,13.457,0.011,0,,,2,13.666,0.016,2,13.343,0.006,2,13.16,0.005,1,13.019,0.092,0,,
125-0723105,301.31804,35.740355,7.611111e-05,4.2777778e-05,2,15.014,0.033,2,14.142,0.003,0,,,2,14.566,0.002,2,13.837,0.02,2,13.422,0.009,1,13.386,0.14,0,,
125-0723209,301.326155,35.738974,0.00016194445,8.416667e-05,1,16.97,0.112,1,16.011,0.084,0,,,2,16.455,0.017,2,15.678,0.023,2,15.493,0.102,0,,,0,,
125-0723147,301.321742,35.747436,6.694444e-05,0.00012138889,1,16.65,0.077,1,15.711,0.053,0,,,2,16.262,0.022,2,15.513,0.156,2,15.083,0.128,0,,,0,,
125-0723238,301.328389,35.74712,9.3055554e-05,4.361111e-05,2,16.289,0.174,2,15.289,0.018,0,,,2,15.693,0.021,2,15.016,0.077,2,14.709,0.015,0,,,0,,
125-0723229,301.327627,35.756406,3.583333e-05,1.4444445e-05,0,,,0,,,0,,,1,17.254,0.094,1,15.93,0.081,1,15.262,0.094,0,,,0,,
125-0723100,301.317667,35.766628,7.722222e-05,3.777778e-05,0,,,0,,,0,,,1,17.531,0.108,1,16.316,0.102,1,15.802,0.154,0,,,0,,
125-0723354,301.336778,35.756471,3.8888888e-05,5.1388888e-05,2,16.104,0.024,2,15.241,0.03,0,,,2,15.605,0.015,2,15.076,0.012,2,14.771,0.005,0,,,0,,
125-0723280,301.331408,35.775189,7.555556e-05,4.6666664e-05,1,16.893,0.087,1,14.933,0.028,0,,,2,15.884,0.062,2,14.285,0.0,2,13.52,0.013,1,12.783,0.084,0,,
125-0724701,301.43847,35.526762,4.361111e-05,4.4444445e-05,0,,,0,,,0,,,1,18.126,0.244,1,17.752,0.459,0,,,0,,,0,,
125-0724103,301.392758,35.548662,6.4444444e-05,3.75e-05,0,,,0,,,0,,,1,17.793,0.132,1,16.802,0.156,0,,,0,,,0,,
125-0723729,301.364768,35.573518,3.361111e-05,5.0833332e-05,2,15.942,0.029,2,13.959,0.109,0,,,2,14.94,0.106,2,12.939,0.074,3,10.723,0.039,1,9.406,0.007,0,,
125-0723839,301.373063,35.576542,5.111111e-05,5.7222223e-05,2,16.288,0.061,2,15.585,0.046,0,,,2,16.047,0.046,2,15.445,0.085,2,15.102,0.003,0,,,0,,
125-0724098,301.392492,35.558759,2.3055554e-05,3.583333e-05,0,,,0,,,0,,,1,17.636,0.111,1,16.499,0.123,1,16.014,0.179,0,,,0,,
125-0724170,301.398096,35.54668,5.7222223e-05,9.194444e-05,1,17.895,0.223,1,16.896,0.153,0,,,1,17.38,0.092,1,16.408,0.109,0,,,0,,,0,,
125-0724338,301.411146,35.538228,9.3055554e-05,9.6944445e-05,2,15.249,0.047,2,14.556,0.005,0,,,2,14.81,0.006,2,14.334,0.012,2,14.165,0.013,1,13.954,0.203,0,,
125-0724389,301.415439,35.5434,9.5e-05,7.194444e-05,2,16.085,0.023,2,15.122,0.004,0,,,2,15.513,0.023,2,14.72,0.004,2,14.287,0.015,0,,,0,,
125-0724210,301.402062,35.554528,3.9722225e-05,6.861111e-05,1,17.061,0.104,1,15.057,0.032,0,,,2,16.184,0.095,2,14.091,0.003,2,12.295,0.005,0,,,0,,
125-0724469,301.421566,35.534732,9.583333e-05,7.611111e-05,1,16.982,0.112,1,16.242,0.099,0,,,2,16.677,0.161,2,16.1,0.008,2,15.978,0.035,0,,,0,,
125-0724431,301.418826,35.538228,5.0833332e-05,2.5555555e-05,0,,,0,,,0,,,1,17.614,0.134,1,16.055,0.092,1,15.33,0.112,0,,,0,,
125-0724661,301.435505,35.540079,0.0002411111,7.638889e-05,0,,,0,,,0,,,1,17.9,0.162,1,16.499,0.12,1,16.029,0.182,0,,,0,,
125-0724349,301.412377,35.557296,4.777778e-05,7.833334e-05,1,16.893,0.102,1,16.208,0.083,0,,,1,16.531,0.049,1,15.831,0.072,1,15.533,0.128,0,,,0,,
125-0724218,301.4027,35.566022,5.7222223e-05,1.5833333e-05,0,,,0,,,0,,,1,16.867,0.06,1,15.21,0.041,1,14.443,0.047,0,,,0,,
